filename,population_size,elite_size,mutatants_size,crossover_probability,restart_generations,restart_strategy,seed,objective_value,time_elapsed,stop_time
experiment/46-abb313GPIA.txt,100,0.2,0.10,0.70,50,1,9,4984,642.126,641.406
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,0,2998,229.233,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,1,2998,229.59,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,2,2983,229.701,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,3,2997,230.225,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,4,2998,229.22,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,5,2977,230.352,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,6,3013,231.563,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,7,2987,229.696,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,8,2990,229.45,229.205
experiment/47-ash958GPIA.txt,100,0.2,0.10,0.70,50,1,9,2989,229.29,229.205
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,0,4106,578.393,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,1,4113,578.09,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,2,4099,577.718,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,3,4122,578.273,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,4,4108,578.412,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,5,4089,579.425,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,6,4086,577.254,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,7,4096,577.781,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,8,4094,578.988,576.442
experiment/48-3-FullIns_5.txt,100,0.2,0.10,0.70,50,1,9,4099,578.963,576.442
experiment/49-wap01.txt,100,0.2,0.10,0.70,50,1,0,21052,2063.78,2056.91
